:START_ID,:END_ID,:TYPE
13,130,directed
13,1,directed
13,28,directed
13,68,directed
14,130,directed
14,1,directed
14,28,directed
14,68,directed
100,82,directed
145,130,directed
466,457,directed
490,3915,directed
491,471,directed
491,496,directed
524,517,directed
549,737,directed
549,532,directed
549,564,directed
607,598,directed
627,615,directed
664,641,directed
664,698,directed
664,797,directed
690,681,directed
724,710,directed
728,805,directed
761,750,directed
776,770,directed
776,2498,directed
791,781,directed
791,2885,directed
1077,1096,directed
1107,1097,directed
1133,1118,directed
1252,1241,directed
1254,1241,directed
1295,1356,directed
1297,1293,directed
1379,1366,directed
1382,1366,directed
1421,1412,directed
1557,1550,directed
1604,1596,directed
1705,1693,directed
1766,1768,directed
1869,1856,directed
1942,1935,directed
1943,1935,directed
2020,2008,directed
2073,2055,directed
2243,2232,directed
2409,2398,directed
2410,2398,directed
2439,2422,directed
2440,2422,directed
2664,2654,directed
2779,2767,directed
3112,3106,directed
3113,3106,directed
3267,3252,directed
3398,3390,directed
3464,3459,directed
3630,3624,directed
3688,3680,directed
3760,3753,directed
