:START_ID,:END_ID,:TYPE
1,16,has_genre
1,17,has_genre
1,18,has_genre
1,19,has_genre
28,16,has_genre
28,17,has_genre
28,18,has_genre
28,19,has_genre
68,16,has_genre
68,17,has_genre
68,18,has_genre
68,19,has_genre
82,19,has_genre
82,110,has_genre
130,146,has_genre
130,18,has_genre
457,146,has_genre
457,110,has_genre
471,146,has_genre
471,110,has_genre
496,146,has_genre
496,110,has_genre
517,526,has_genre
532,146,has_genre
532,16,has_genre
532,19,has_genre
532,110,has_genre
564,146,has_genre
564,16,has_genre
564,19,has_genre
564,110,has_genre
598,146,has_genre
598,610,has_genre
598,611,has_genre
615,146,has_genre
641,16,has_genre
641,17,has_genre
641,669,has_genre
681,146,has_genre
681,16,has_genre
681,19,has_genre
698,16,has_genre
698,17,has_genre
698,669,has_genre
710,16,has_genre
710,17,has_genre
710,18,has_genre
737,16,has_genre
737,17,has_genre
737,18,has_genre
737,19,has_genre
737,746,has_genre
750,146,has_genre
770,146,has_genre
770,779,has_genre
770,780,has_genre
781,146,has_genre
781,16,has_genre
781,110,has_genre
797,16,has_genre
797,17,has_genre
797,669,has_genre
805,16,has_genre
805,17,has_genre
805,18,has_genre
1096,146,has_genre
1096,16,has_genre
1096,19,has_genre
1096,110,has_genre
1097,146,has_genre
1097,16,has_genre
1097,611,has_genre
1118,146,has_genre
1118,110,has_genre
1241,17,has_genre
1241,1256,has_genre
1241,1257,has_genre
1241,1258,has_genre
1293,146,has_genre
1293,18,has_genre
1293,19,has_genre
1356,146,has_genre
1356,16,has_genre
1356,610,has_genre
1356,611,has_genre
1366,16,has_genre
1366,779,has_genre
1366,1256,has_genre
1412,16,has_genre
1412,18,has_genre
1412,110,has_genre
1550,146,has_genre
1550,18,has_genre
1550,779,has_genre
1550,780,has_genre
1596,146,has_genre
1596,610,has_genre
1693,146,has_genre
1693,610,has_genre
1768,146,has_genre
1768,16,has_genre
1768,18,has_genre
1768,19,has_genre
1856,17,has_genre
1856,669,has_genre
1856,1256,has_genre
1856,1258,has_genre
1935,779,has_genre
1935,1256,has_genre
1935,1258,has_genre
2008,17,has_genre
2008,1256,has_genre
2008,1258,has_genre
2055,16,has_genre
2232,16,has_genre
2232,669,has_genre
2232,2246,has_genre
2398,1256,has_genre
2398,1258,has_genre
2422,17,has_genre
2422,1256,has_genre
2422,1257,has_genre
2422,1258,has_genre
2498,16,has_genre
2498,17,has_genre
2498,1256,has_genre
2654,16,has_genre
2654,17,has_genre
2654,18,has_genre
2654,669,has_genre
2767,19,has_genre
2767,110,has_genre
2767,746,has_genre
2885,146,has_genre
2885,17,has_genre
2885,1258,has_genre
3106,146,has_genre
3106,110,has_genre
3106,779,has_genre
3252,146,has_genre
3252,19,has_genre
3252,110,has_genre
3252,3270,has_genre
3390,610,has_genre
3459,146,has_genre
3624,610,has_genre
3680,146,has_genre
3680,19,has_genre
3680,110,has_genre
3680,610,has_genre
3753,146,has_genre
3915,146,has_genre
