:START_ID,:END_ID,:TYPE
13,130,produce
14,130,produce
15,1,produce
15,28,produce
15,68,produce
106,82,produce
108,2498,produce
109,82,produce
145,130,produce
490,3915,produce
491,496,produce
491,3915,produce
549,737,produce
549,532,produce
549,564,produce
607,598,produce
609,598,produce
616,615,produce
664,641,produce
664,698,produce
664,797,produce
665,641,produce
665,698,produce
665,797,produce
665,3390,produce
666,641,produce
666,698,produce
666,797,produce
666,3390,produce
683,1693,produce
725,710,produce
725,805,produce
728,710,produce
728,805,produce
764,750,produce
776,2498,produce
791,2885,produce
793,781,produce
1119,1118,produce
1253,1241,produce
1295,1356,produce
1297,1293,produce
1298,1293,produce
1365,1356,produce
1371,2232,produce
1557,1550,produce
1705,1693,produce
1767,1768,produce
2021,2008,produce
2068,2055,produce
2074,2055,produce
2075,2055,produce
2243,2232,produce
2244,2232,produce
2779,2767,produce
2895,2885,produce
3113,3106,produce
3392,3390,produce
3464,3459,produce
3689,3680,produce
