:START_ID,:END_ID,:TYPE
13,130,write
13,1,write
13,28,write
13,68,write
14,130,write
14,1,write
14,28,write
14,68,write
100,82,write
108,82,write
108,2498,write
145,130,write
490,3915,write
491,471,write
491,496,write
492,471,write
492,496,write
495,457,write
524,517,write
525,517,write
549,737,write
549,532,write
549,564,write
550,532,write
550,564,write
551,532,write
551,564,write
608,598,write
628,615,write
664,641,write
664,698,write
664,797,write
667,641,write
667,698,write
667,797,write
668,641,write
668,698,write
668,797,write
726,710,write
727,710,write
728,710,write
728,805,write
762,750,write
763,750,write
777,770,write
778,770,write
791,781,write
792,781,write
907,681,write
1094,1096,write
1095,1096,write
1106,1097,write
1108,1097,write
1133,1118,write
1134,1118,write
1252,1241,write
1254,1241,write
1255,1241,write
1295,1356,write
1297,1293,write
1299,1293,write
1365,1356,write
1379,1366,write
1380,1366,write
1381,1366,write
1382,1366,write
1422,1412,write
1423,1412,write
1557,1550,write
1605,1596,write
1606,1596,write
1706,1693,write
1766,1768,write
1870,1856,write
1871,1856,write
1872,1856,write
1873,1856,write
1874,1856,write
1942,1935,write
1943,1935,write
1943,2422,write
1944,1935,write
2022,2008,write
2073,2055,write
2076,2055,write
2243,2232,write
2245,2232,write
2411,2398,write
2412,2398,write
2441,2422,write
2442,2422,write
2443,2422,write
2444,2422,write
2510,2498,write
2664,2654,write
2780,2767,write
2896,2885,write
2897,2885,write
3112,3106,write
3113,3106,write
3268,3252,write
3269,3252,write
3399,3390,write
3464,3459,write
3631,3624,write
3690,3680,write
3761,3753,write
